postcode,eastings,northings,source
BS6 7EH,358158,175050,postcodes
BS7 9BY,360736,176504,postcodes
BS8 1JX,357773,173041,postcodes
BS8 1SR,358075,173419,postcodes
BS8 3EZ,357064,173993,postcodes
BS8 3JD,356997,173520,postcodes
BS9 3AW,357295,176931,postcodes
BS9 3BA,357147,176445,postcodes
BS9 4LR,358168,176409,postcodes
CA1 1JB,340363,556171,postcodes
CA1 1LY,340881,556068,postcodes
CA11 7EG,351215,529599,postcodes
CA11 8NG,351836,529571,postcodes
CA12 5QB,326156,524296,postcodes
CA13 9HF,312965,531103,postcodes
CA14 4EB,301125,528475,postcodes
CA14 4JN,301157,524509,postcodes
CA14 4JW,301874,525522,postcodes
CA14 4SS,301604,526243,postcodes
CA15 6NT,304205,536757,postcodes
CA16 6XU,368104,521037,postcodes
CA17 4HA,377335,508852,postcodes
CA2 4NL,340980,553066,postcodes
CA2 6LB,337775,554499,postcodes
CA22 2DQ,301020,510969,postcodes
CA27 0DS,296940,512198,postcodes
CA28 8TY,299268,517106,postcodes
CA28 8UG,299294,517791,postcodes
CA3 0BU,339697,559299,postcodes
CA3 9PB,339119,557417,postcodes
CA5 7BX,337160,547464,postcodes
CA5 7NN,337141,550508,postcodes
CA7 9PX,325838,548050,postcodes
CA8 1AR,352532,561292,postcodes
CA8 2AB,352628,561892,postcodes
CB1 2AW,546109,257963,postcodes
CB1 2AZ,546329,257835,postcodes
CB1 2JB,545788,257358,postcodes
CB1 8NN,548100,255823,postcodes
CB11 3TR,552129,234707,postcodes
CB11 4UH,553225,237758,postcodes
CB2 0SZ,546560,254938,postcodes
CB2 1HF,545350,257533,postcodes
CB2 1JE,545197,257445,postcodes
CB2 1LY,545353,257320,postcodes
CB2 7AD,545115,257540,postcodes
CB2 8EB,545968,256372,postcodes
CB2 8PE,546093,256570,postcodes
CB2 8PX,545927,255513,postcodes
CB2 8QF,546337,255803,postcodes
CB21 4NN,555791,246605,postcodes
CB21 5EE,550522,256430,terminated_postcodes
CB22 6SE,540819,248481,postcodes
CB23 6FR,531051,259895,postcodes
CB23 7DU,537543,255959,postcodes
CB24 1DH,541036,266850,postcodes
CB24 1DJ,541132,266716,postcodes
CB24 6DF,547751,262854,postcodes
CB24 8UA,545040,267054,postcodes
CB24 9LX,544621,263169,postcodes
CB24 9LY,544451,262986,postcodes
CB24 9NG,545798,263637,postcodes
CB3 0RX,542445,262860,postcodes
CB4 1NQ,546134,259841,postcodes
CB4 2EE,545185,260050,postcodes
CB4 2QT,545847,261822,postcodes
CB4 3NY,544976,259864,postcodes
CB6 1BD,553789,280875,postcodes
CB6 1LJ,555992,287360,postcodes
CB6 2SH,553085,281562,postcodes
CB7 4DB,553900,279951,postcodes
CB8 7LF,563265,266545,postcodes
CB9 0LB,568456,245087,postcodes
CB9 0LD,567770,246274,postcodes
CB9 7UA,567218,245541,terminated_postcodes
CH1 2HU,340494,366521,postcodes
CH1 2NN,340143,366381,postcodes
CH1 6LT,337852,372597,postcodes
CH2 1BQ,340071,368653,postcodes
CH2 1HD,341044,368890,postcodes
CH2 1NN,341821,368864,postcodes
CH2 3HR,342070,367186,postcodes
CH2 4ES,343112,369192,postcodes
CH3 5UX,341931,365391,postcodes
CH3 5XF,342334,365597,postcodes
CH3 6EN,344351,361929,postcodes
CH3 7AD,344406,365445,postcodes
CH3 7JA,347408,369182,postcodes
CH4 7AE,340916,365590,postcodes
CH4 7HS,340504,365157,postcodes
CH4 7QL,339935,363826,postcodes
CH41 4NT,332168,388959,postcodes
CH42 1NW,332821,386892,postcodes
CH43 1TY,330226,388373,postcodes
CH43 1UQ,330386,388636,postcodes
CH43 2JD,329989,388049,postcodes
CH43 8SQ,330093,389120,postcodes
CH44 3HS,329819,391357,postcodes
CH45 3LN,329331,392417,postcodes
CH45 4RJ,330336,392261,postcodes
CH45 8PJ,329242,391892,postcodes
CH46 1RA,327146,391121,postcodes
CH48 5DH,321245,387150,postcodes
CH48 5DP,321240,387477,postcodes
CH48 6EQ,323054,387063,postcodes
CH48 8GG,322702,386267,postcodes
CH49 5LA,327633,386895,postcodes
CH49 5LF,328503,386713,postcodes
CH49 6LJ,327053,388255,postcodes
CH61 6XN,326064,383433,postcodes
CH62 8EH,335053,379767,postcodes
CH63 2PS,332543,384485,postcodes
CH63 3AF,332551,384030,postcodes
CH63 3AQ,332673,383910,postcodes
CH63 7LF,333096,385155,postcodes
CH64 9NH,329913,378392,postcodes
CH65 1AN,337119,378840,postcodes
CH65 6EA,339625,375970,postcodes
CH65 7AQ,339029,375251,postcodes
CH66 2NU,339260,374456,postcodes
CM0 8QB,594812,197071,postcodes
CM1 1RW,570446,207808,postcodes
CM1 2QE,569786,206235,postcodes
CM1 3ET,568647,206118,postcodes
CM1 3RR,567757,207066,postcodes
CM1 3SX,570311,207442,postcodes
CM1 4BS,570112,208776,postcodes
CM1 4ZB,569890,208941,postcodes
CM1 6DT,572460,209753,postcodes
CM1 6LY,572009,208520,postcodes
CM1 7ER,570330,210961,postcodes
CM1 7SJ,571851,207870,postcodes
CM12 0RT,568237,196151,postcodes
CM12 9LH,567497,193951,postcodes
CM13 2HG,562282,194023,postcodes
CM14 4EX,559629,193514,postcodes
CM14 4JF,559922,193341,postcodes
CM15 8BE,560538,193381,postcodes
CM15 8EE,560106,193750,postcodes
CM15 8RY,561383,195827,postcodes
CM15 9DA,559417,194524,postcodes
CM16 4BA,545736,201858,postcodes
CM16 5JB,545175,201956,postcodes
CM18 6AA,545298,209354,postcodes
CM18 6RN,544870,208770,postcodes
CM2 0JQ,570466,205798,postcodes
CM2 7AQ,573813,204638,postcodes
CM2 8RW,570418,203293,postcodes
CM2 9ES,570732,205035,postcodes
CM2 9RZ,571835,204625,postcodes
CM20 3EZ,544949,209957,postcodes
CM20 3LH,544937,210061,postcodes
CM21 9BY,548235,215763,postcodes
CM23 2BD,548215,222950,postcodes
CM23 2NQ,548369,221288,postcodes
CM23 2PQ,548102,221412,postcodes
CM23 4SH,548620,219050,postcodes
CM23 5BD,550264,221808,postcodes
CM23 5HX,549575,221392,postcodes
CM23 5NA,549252,221060,postcodes
CM23 5NJ,549579,221024,postcodes
CM3 3HS,573406,210255,postcodes
CM3 5JU,581365,197372,postcodes
CM4 0DJ,565109,199850,postcodes
CM5 0AN,555309,204311,postcodes
CM6 1XJ,562924,221423,postcodes
CM6 2AU,562142,222955,postcodes
CM6 3LL,567922,220610,postcodes
CM7 1WY,575787,221713,postcodes
CM7 2YN,574635,223964,postcodes
CM7 5XP,574927,223831,postcodes
CM8 2SD,581843,216574,postcodes
CM8 2TA,581715,216609,postcodes
CM8 3HH,582446,217089,postcodes
CM9 6AB,584943,206788,postcodes
CO1 1SN,599291,225335,postcodes
CO10 0NH,589081,239947,postcodes
CO10 1NN,587470,242386,postcodes
CO10 1NW,587555,242294,postcodes
CO10 5NA,593224,237375,postcodes
CO13 0AZ,623919,221068,postcodes
CO15 3JL,616730,215858,postcodes
CO15 6DZ,618049,215605,postcodes
CO15 6HF,618734,215872,postcodes
CO16 9PY,617558,220631,postcodes
CO3 0PZ,595677,224424,postcodes
CO3 3LL,598855,225606,postcodes
CO3 3ND,598776,224842,postcodes
CO3 3RB,598121,224996,postcodes
CO3 3US,597973,224640,postcodes
CO3 4QS,597740,224215,postcodes
CO4 5HG,599270,228387,postcodes
CO6 3QL,594341,225392,postcodes
CO6 4RW,598211,236616,postcodes
CO7 7ET,606229,224379,postcodes
CO9 1PF,578998,230630,postcodes
CO9 3HX,578390,233850,postcodes
CO9 3PX,577965,234504,postcodes
CO9 3QH,577844,235021,postcodes
CR0 0AH,539266,161390,postcodes
CR0 1AX,532032,165452,postcodes
CR0 1DN,532404,164766,postcodes
CR0 2EF,532710,166297,postcodes
CR0 2HN,532809,167432,postcodes
CR0 2TB,532061,166218,postcodes
